,Home Team,vs,Away Team,Venue,Time,Result,Match Week,Date
0,Sha Tin Squash Rackets Club 3,v,Hong Kong Cricket Club 6,Cornwall Street Squash Centre,19:00,"2-3(0-3,0-3,3-1,0-3,3-0)",1,06/10/2023
1,Studio Pro,v,Kinetic 1,Java Road Sports Centre,19:00,"3-2(3-1,1-3,1-3,3-0,3-0)",1,06/10/2023
2,Squashathon Zero,v,Ladies Recreation Club Div 12,Cornwall Street Squash Centre,19:00,"5-0(3-1,3-1,3-0,3-0,3-0)",1,06/10/2023
3,MERCURY,v,i-Mask Advance Squash Club 3,HK Squash Centre,19:00,"3-2(1-3,1-3,3-0,3-2,3-0)",1,06/10/2023
4,MERCURY,v,Squashathon Zero,HK Squash Centre,19:00,"3-2(0-3,0-3,3-2,3-0,3-0)",2,13/10/2023
5,Ladies Recreation Club Div 12,v,Studio Pro,Ladies Recreation Club,19:00,"2-3(3-0,2-3,3-0,2-3,1-3)",2,13/10/2023
6,Kinetic 1,v,Sha Tin Squash Rackets Club 3,Yuen Long Jockey Club Squash Courts,19:00,"1-4(0-3,0-3,1-3,3-0,2-3)",2,13/10/2023
7,i-Mask Advance Squash Club 3,v,Hong Kong Cricket Club 6,Cornwall Street Squash Centre,19:00,"3-2(3-0,0-3,1-3,3-0,3-0)",2,13/10/2023
8,Hong Kong Cricket Club 6,v,Kinetic 1,Hong Kong Cricket Club,19:00,"3-2(1-3,3-0,3-0,3-0,1-3)",3,20/10/2023
9,Sha Tin Squash Rackets Club 3,v,Ladies Recreation Club Div 12,Cornwall Street Squash Centre,19:00,"3-2(3-0,3-0,0-3,3-1,0-3)",3,20/10/2023
10,Studio Pro,v,MERCURY,Java Road Sports Centre,19:00,"3-2(3-0,3-2,1-3,3-0,0-3)",3,20/10/2023
11,Squashathon Zero,v,i-Mask Advance Squash Club 3,Kwun Chung Sports Centre,19:00,"2-3(3-2,0-3,2-3,0-3,3-0)",3,20/10/2023
12,Squashathon Zero,v,Studio Pro,Cornwall Street Squash Centre,19:00,"4-1(3-1,0-3,3-1,3-0,3-0)",4,03/11/2023
13,MERCURY,v,Sha Tin Squash Rackets Club 3,HK Squash Centre,19:00,"2-3(0-3,0-3,3-1,2-3,3-0)",4,03/11/2023
14,Ladies Recreation Club Div 12,v,Hong Kong Cricket Club 6,Ladies Recreation Club,19:00,"1-4(0-3,0-3,3-0,0-3,0-3)",4,03/11/2023
15,i-Mask Advance Squash Club 3,v,Kinetic 1,Cornwall Street Squash Centre,19:00,"4-1(3-0,1-3,3-0,3-0,3-1)",4,03/11/2023
16,Kinetic 1,v,Ladies Recreation Club Div 12,Yuen Long Jockey Club Squash Courts,19:00,"5-0(CR,CR,CR,CR,CR)",5,10/11/2023
17,Hong Kong Cricket Club 6,v,MERCURY,Hong Kong Cricket Club,19:00,"4-1(3-0,3-1,3-0,3-0,1-3)",5,10/11/2023
18,Sha Tin Squash Rackets Club 3,v,Squashathon Zero,Cornwall Street Squash Centre,19:00,"1-4(0-3,3-1,0-3,1-3,0-3)",5,10/11/2023
19,Studio Pro,v,i-Mask Advance Squash Club 3,Java Road Sports Centre,19:00,"0-5(0-3,1-3,0-3,0-3,CR)",5,10/11/2023
20,Studio Pro,v,Sha Tin Squash Rackets Club 3,Java Road Sports Centre,19:00,"2-3(3-0,0-3,0-3,3-1,0-3)",6,17/11/2023
21,Squashathon Zero,v,Hong Kong Cricket Club 6,Cornwall Street Squash Centre,19:00,"2-3(3-0,0-3,3-0,0-3,1-3)",6,17/11/2023
22,MERCURY,v,Kinetic 1,HK Squash Centre,19:00,"4-1(0-3,3-1,3-0,3-0,3-0)",6,17/11/2023
23,i-Mask Advance Squash Club 3,v,Ladies Recreation Club Div 12,Cornwall Street Squash Centre,19:00,"4-1(3-0,2-3,3-0,3-0,CR)",6,17/11/2023
24,Ladies Recreation Club Div 12,v,MERCURY,Ladies Recreation Club,19:00,"4-1(3-2,0-3,3-1,3-2,3-2)",7,24/11/2023
25,Kinetic 1,v,Squashathon Zero,Tai Kiu Market Squash Courts,19:00,"1-4(0-3,1-3,3-1,0-3,1-3)",7,24/11/2023
