Team,Most Games,Most Wins,Highest Win Percentage
Friend Club 3,"Chan Siu Kwan, Sze James Wang Cho (14)","Sze James Wang Cho, Choi Kenny Wing Kin (5)",Choi Kenny Wing Kin (62.5%)
Global Squash 1,"Chan Ming Yan Calvin, Mak Chun Wai (14)",Chan Ming Yan Calvin (8),Ching Andus Kin Nok (77.8%)
Hong Kong Cricket Club 4,"Janes Gareth, Achouch Frank (8)",Janes Gareth (7),Janes Gareth (87.5%)
Hong Kong Football Club 6A,Derouet Yann (12),"Ng Adrian, Hathiramani Dinesh (6)",Leung Nok Yi (80.0%)
Hong Kong Football Club 6B,Yeung Yurisa (12),Yeung Yurisa (7),Tjia Jonathan (75.0%)
Hong Kong Football Club 6C,Tanner Julian (13),Cheng August Huan-Chen (9),Katsande Danai (85.7%)
Kowloon Cricket Club 6A,Cheng Tak Kwong (13),"Li Ho Sum, Cheng Tak Kwong (10)",Li Ho Sum (90.9%)
Kowloon Cricket Club 6B,Ho Yiu Wah Hendry (13),Ho Yiu Wah Hendry (11),"Lau Wai Tung, Leung Phoebe Hei Ting (100.0%)"
Social Squash Team,Raducki Stephen (14),Raducki Stephen (7),Raducki Stephen (50.0%)
United Services Recreation Club 2,Chow Hester Yuk Ting (13),Chow Hester Yuk Ting (10),Chow Hester Yuk Ting (76.9%)
