Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc,Total Rubbers
Sha Tin Squash Rackets Club 6,85.71428571428571,57.14285714285714,71.42857142857143,83.33333333333334,100.0,79.52380952380952,33
Kinetic 3,33.33333333333333,83.33333333333334,100.0,66.66666666666666,100.0,76.66666666666667,30
Global Squash 2,80.0,60.0,70.0,80.0,60.0,70.0,50
Airporterz,57.14285714285714,85.71428571428571,57.14285714285714,40.0,33.33333333333333,54.666666666666664,29
Hong Kong Football Club 16,44.44444444444444,55.55555555555556,22.22222222222222,50.0,57.14285714285714,45.87301587301587,42
ZOMA,33.33333333333333,50.0,50.0,33.33333333333333,33.33333333333333,39.999999999999986,22
Star River 2,40.0,20.0,40.0,40.0,50.0,38.0,24
i-Mask Advance Squash Club 6,28.57142857142857,57.14285714285714,28.57142857142857,33.33333333333333,25.0,34.52380952380952,31
SQUASHTASTIC 8,37.5,75.0,25.0,12.5,0.0,30.0,38
Winter Warriors,0.0,42.857142857142854,14.285714285714285,57.14285714285714,16.666666666666664,26.190476190476186,34
CSD Squash Team,33.33333333333333,16.666666666666664,20.0,0.0,0.0,14.0,22
Latecomers,20.0,0.0,0.0,0.0,50.0,14.0,24
