Team,Most Games,Most Wins,Highest Win Percentage
Arctic Circle,"Wu Chi Wai, Wong Wai Ling Helen, Hong Hang Shan (5)",Wu Chi Wai (5),Wu Chi Wai (100.0%)
Bravo D13,Chow Pui Sing (6),Chow Pui Sing (5),Chow Pui Sing (83.3%)
Greenfield,"Chan Kwok Wa, Young Ki Chun (6)",Chan Kwok Wa (6),Chan Kwok Wa (100.0%)
M&M Squash,"Tang Ka Yan, Lam Ngo Sze Osee, Yim Yu Tak, Wong Ho Yi (5)",Tang Ka Yan (3),Tang Ka Yan (60.0%)
North District Sports Association 2,Leung Yat Hei (6),Dogra Vijendra Singh Balbirsing (5),Dogra Vijendra Singh Balbirsing (100.0%)
Physical Chess 4,Yuen Lok Hang (6),Yuen Lok Hang (4),Yuen Lok Hang (66.7%)
Royal Hong Kong Yacht Club Div 13,Zirah Pierre-Alexis Joachim (6),Zirah Pierre-Alexis Joachim (6),Zirah Pierre-Alexis Joachim (100.0%)
Squashathon PLZ,"Leung Hok Sum, Leung Ka Luen Wilson (5)",Leung Hok Sum (4),Leung Hok Sum (80.0%)
Star River 3,Wong Bao Kwong Chi (7),Leung Venus Wing Sze (2),Leung Venus Wing Sze (33.3%)
TNG 1, (nan), (nan), (nan%)
TNG 2,"Chan Hong Ting, Chan Shun Ting (5)",Chan Hong Ting (5),Chan Hong Ting (100.0%)
Vitality Squash 3,Luk Argen (6),Chen Marshall Youpeng (3),Chen Marshall Youpeng (60.0%)
