Team,Most Games,Most Wins,Highest Win Percentage
Happy Squash 2,"Leung Chun Ho, Lam Yin Tung, Chan Anson Chi Him (7)",Leung Chun Ho (5),Leung Chun Ho (71.4%)
Hong Kong Football Club 5A,"Amjad Zain, Cheung Chi Yan (7)",Wong Ho Kiu (6),Wong Ho Kiu (100.0%)
Hong Kong Football Club 5B,"Chiu Hau Ching, Au Pak Ki (6)","Chiu Hau Ching, Au Pak Ki (3)","Chiu Hau Ching, Au Pak Ki (50.0%)"
Hong Kong Racketlon Association 1,Lee Hei Nam (7),"Lam Yan Kiu, Cheng Steven Wai Kit (4)","Lam Yan Kiu, Cheng Steven Wai Kit (80.0%)"
Physical Chess 1,Tam Thomas Siu Ying (5),Tam Thomas Siu Ying (3),Tam Thomas Siu Ying (60.0%)
Squashathon, (nan), (nan), (nan%)
The Squash Club 1,Yeung Kai San (6),Yeung Kai San (4),Yeung Kai San (66.7%)
Uncle,"Gray Jonathan, Chan Terence Yiu Ki, Fung Stephen Tsz Pan (6)",Chan Terence Yiu Ki (6),Chan Terence Yiu Ki (100.0%)
X-Alpha 2,"Ng Yat Long, Chui King Yin, Yu Wang Chi (6)",Ng Yat Long (6),Ng Yat Long (100.0%)
i-Mask Advance Squash Club 1,Lee Ka Fai Peterson (6),"Lee Ka Fai Peterson, Lo Sing Chi (0)","Lee Ka Fai Peterson, Lo Sing Chi (0.0%)"
