Team Name,Home,Average Home Score,Average Away Score,home_away_diff
Energy Squash Club 1,Kwun Chung Sports Centre,3.0,0.5,2.5
X-Alpha 5,Tai Po Sports Ground,4.0,1.5,2.5
Energy Squash Club 2,HK Squash Centre,3.2,1.0,2.2
Yuen Long District Sports Association Limited,Yuen Long Jockey Club Squash Courts,3.4,1.5,1.9
i-Mask Advance Squash Club 5,Cornwall Street Squash Centre,3.25,1.5,1.75
HKIS Div 13,HK Squash Centre,2.25,0.75,1.5
Sha Tin 6,Cornwall Street Squash Centre,4.5,3.1666666666666665,1.3333333333333335
Kinetic 4,Pei Ho Street Sports Centre,2.25,1.4,0.8500000000000001
SocGen Squash,HK Squash Centre,3.2,2.5,0.7000000000000002
Electrify Squash Div 13,HK Squash Centre,4.6,4.0,0.5999999999999996
Fusion Squash Club 2,HK Squash Centre,3.2,2.75,0.4500000000000002
Happy Squash 4,Wai Tsuen Sports Centre,1.0,1.375,-0.375
