Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
The Squash Club 2,8,7,1,41,34,6,0,0,0,0
Centre Squash,8,7,1,31,24,16,0,2,0,0
Twister,7,5,2,30,25,10,0,0,0,0
The Hong Kong Jockey Club Div 9,8,5,3,24,19,21,0,0,0,0
Hong Kong Football Club 9,7,4,3,24,20,15,0,0,0,0
i-Mask Advance Squash Club 3,8,4,4,22,18,22,0,0,0,0
Kowloon Cricket Club 9,8,3,5,20,17,23,0,0,0,0
Kinetic 3,8,2,6,14,12,28,0,0,0,0
BOSS,7,1,6,12,11,24,1,0,0,0
HKPF Squash Team,7,0,7,10,10,25,1,0,0,0
