Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc
TNG 2,40.0,0.0,0.0,-16.66666666666667,100.0,24.666666666666657
Physical Chess 4,33.33333333333333,-60.0,-30.0,50.0,66.66666666666667,12.0
Squashathon PLZ,80.0,-33.33333333333334,-26.66666666666667,8.333333333333329,8.333333333333329,7.333333333333329
TNG 1,0.0,-100.0,66.66666666666667,33.33333333333334,33.33333333333334,6.666666666666671
Royal Hong Kong Yacht Club Div 13,-1.5873015873015817,-1.5873015873015817,-21.42857142857143,32.142857142857146,14.285714285714278,4.365079365079367
M&M Squash,-11.42857142857143,-5.714285714285715,8.57142857142857,2.857142857142854,22.857142857142854,3.428571428571427
Arctic Circle,0.0,-35.0,6.666666666666671,26.66666666666667,13.333333333333343,2.33333333333335
North District Sports Association 2,3.5714285714285694,-7.142857142857146,-21.42857142857143,10.714285714285708,25.0,2.1428571428571317
Star River 3,60.0,23.333333333333336,-83.33333333333334,6.666666666666671,0.0,1.3333333333333357
Bravo D13,0.0,6.666666666666671,-33.33333333333333,-33.33333333333333,33.33333333333333,-5.3333333333333215
Vitality Squash 3,8.57142857142857,-5.714285714285715,-10.0,-46.66666666666667,0.0,-10.76190476190476
Greenfield,-66.66666666666666,-33.33333333333334,-13.333333333333343,-8.333333333333343,0.0,-24.33333333333332
