Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Kinetic 3,21,19,2,104,85,20,0,1,0,0
Global Squash 2,22,19,3,103,84,26,0,0,0,0
Sha Tin Squash Rackets Club 6,22,18,4,103,85,25,0,5,0,2
ZOMA,22,16,6,82,66,44,0,15,0,0
Hong Kong Football Club 16,22,12,10,70,58,52,0,14,0,2
Airporterz,21,11,10,70,59,46,11,7,0,0
Star River 2,22,11,11,69,58,52,0,11,0,0
Winter Warriors,22,9,13,56,47,63,7,6,0,1
SQUASHTASTIC 8,21,6,15,38,33,72,5,2,1,1
i-Mask Advance Squash Club 6,21,6,15,36,30,75,10,4,0,0
Latecomers,22,2,20,18,24,86,14,3,0,0
CSD Squash Team,22,1,21,15,21,89,24,3,5,0
