Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
i-Mask Advance Squash Club 5,5,5,0,24,19,6,0,0,0,0
The Zero Squash Club D11,5,3,2,20,17,8,0,0,0,0
Electrify Squash Div 11,4,3,1,17,14,6,0,0,0,0
Alpha CUHK,4,3,1,16,13,7,0,0,0,0
GMDBB,3,3,0,14,11,4,0,0,0,0
7NT,4,2,2,11,9,11,0,1,0,0
ZOMA,4,1,3,8,7,13,0,0,0,0
Tuen Mun Squash Club,4,1,3,7,6,14,0,0,0,0
South China Athletic Association,3,1,2,7,6,9,0,0,0,0
Sea Bear,4,0,4,5,5,15,1,0,0,0
Invader Squash,4,0,4,3,3,17,0,0,0,0
