Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
North District Sports Association 1,20,19,1,97,78,22,0,13,0,0
Alpha CUHK,21,16,5,94,78,27,0,6,0,0
South China Athletic Association,20,16,4,83,67,33,0,5,0,0
Winter Warriors,20,13,7,79,66,34,4,3,0,3
Hong Kong Football Club 12A,21,15,6,78,63,42,0,12,0,0
Sea Bear,20,13,7,78,65,35,0,4,0,0
ZOMA,21,8,13,53,45,60,0,7,0,1
Star River 2,21,7,14,47,40,65,0,11,0,0
Hong Kong Football Club 12B,20,6,14,42,37,63,5,14,1,0
Hong Kong Racketlon Assoication 2,20,5,15,28,29,71,24,1,0,1
CSD Squash Team,20,2,18,19,21,79,28,0,4,0
Latecomers,20,2,18,16,21,79,16,1,0,0
