Team,Most Games,Most Wins,Highest Win Percentage
Arctic Circle,Wong Wai Ling Helen (13),Wu Chi Wai (11),Wu Chi Wai (91.7%)
Bravo D13,Chow Pui Sing (14),Chow Pui Sing (13),Chow Pui Sing (92.9%)
Greenfield,Chan Kwok Wa (13),Chan Kwok Wa (12),Chan Kwok Wa (92.3%)
M&M Squash,Yim Yu Tak (12),Wong Marcus (8),Wong Marcus (72.7%)
North District Sports Association 2,Leung Yat Hei (14),Dogra Vijendra Singh Balbirsing (9),Lam Cheuk Yin (100.0%)
Physical Chess 4,Yuen Lok Hang (15),Yuen Lok Hang (12),Yuen Lok Hang (80.0%)
Royal Hong Kong Yacht Club Div 13,"Clayton Iain Michael, Zirah Pierre-Alexis Joachim (14)",Zirah Pierre-Alexis Joachim (10),Leung Keith Koon Chung (85.7%)
Squashathon PLZ,Leung Ka Luen Wilson (13),Leung Hok Sum (9),Loo Long Hui (83.3%)
Star River 3,Wong Bao Kwong Chi (14),Wai Veronica Chi Man (9),Wai Veronica Chi Man (75.0%)
TNG 1,"Luk Hoi Fai, Tam Tsz Lung, Kwok To Yan (9)",Luk Hoi Fai (9),Luk Hoi Fai (100.0%)
TNG 2,"Chan Hong Ting, Chan Shun Ting (11)",Chan Hong Ting (11),"Koon Long Ying, Chan Hong Ting (100.0%)"
Vitality Squash 3,"Tsoi Cheuk Hin Kieran, Luk Argen (13)",Chen Marshall Youpeng (9),Chen Marshall Youpeng (75.0%)
