Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc,Total Rubbers
TNG 1,87.5,81.25,62.5,66.66666666666666,85.71428571428571,76.72619047619047,77
TNG 2,72.22222222222221,88.88888888888889,81.25,62.5,45.45454545454545,70.06313131313131,79
Royal Hong Kong Yacht Club Div 13,52.94117647058824,52.94117647058824,56.25,62.5,80.0,60.92647058823529,81
Greenfield,27.77777777777778,64.70588235294117,75.0,66.66666666666666,64.28571428571429,59.68720821661998,80
North District Sports Association 2,27.77777777777778,55.55555555555556,38.88888888888889,72.22222222222221,66.66666666666666,52.222222222222214,87
Arctic Circle,76.47058823529412,47.05882352941176,37.5,33.33333333333333,66.66666666666666,52.205882352941174,80
Squashathon PLZ,58.82352941176471,70.58823529411765,47.05882352941176,40.0,26.666666666666668,48.62745098039216,81
Vitality Squash 3,18.75,20.0,53.333333333333336,63.63636363636363,83.33333333333334,47.81060606060606,63
M&M Squash,47.05882352941176,18.75,25.0,43.75,40.0,34.911764705882355,80
Physical Chess 4,17.647058823529413,31.25,66.66666666666666,36.36363636363637,22.22222222222222,34.829916815210936,68
Bravo D13,88.23529411764706,41.17647058823529,20.0,14.285714285714285,10.0,34.739495798319325,73
Star River 3,27.77777777777778,22.22222222222222,38.88888888888889,33.33333333333333,11.76470588235294,26.79738562091503,89
