Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Hong Kong Football Club 5A,6,6,0,28,22,8,0,0,0,0
Physical Chess 1,6,5,1,24,19,11,0,3,0,0
Hong Kong Racketlon Association 1,6,4,2,22,18,12,0,0,0,0
Happy Squash 2,6,3,3,18,15,15,1,0,0,0
Uncle,5,3,2,17,14,11,0,0,0,1
X-Alpha 2,5,3,2,17,14,11,0,0,0,0
Squashathon,5,2,3,13,12,13,0,2,1,0
The Squash Club 1,6,1,5,12,11,19,0,1,0,0
Hong Kong Football Club 5B,6,1,5,12,11,19,3,0,0,0
i-Mask Advance Squash Club 1,5,0,5,4,4,21,2,0,0,0
