Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
TNG 1,11,10,1,50,41,14,0,6,0,0
Greenfield,11,9,2,48,39,16,0,7,0,0
Royal Hong Kong Yacht Club Div 13,11,9,2,46,37,18,0,4,0,0
TNG 2,11,8,3,41,35,20,3,4,1,0
Squashathon PLZ,11,6,5,40,34,21,0,4,0,0
Arctic Circle,11,5,6,32,27,28,5,3,0,0
North District Sports Association 2,11,5,6,31,26,29,0,1,0,0
Bravo D13,11,4,7,27,23,32,5,7,0,0
M&M Squash,10,4,6,23,20,30,0,0,0,0
Physical Chess 4,11,1,10,18,17,38,9,1,0,0
Star River 3,11,2,9,17,15,40,0,0,0,1
Vitality Squash 3,10,2,8,13,11,39,15,0,0,0
