Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Alpha CUHK,2,2,0,10,8.0,2.0,0.0,0.0,0.0,0.0
South China Athletic Association,2,1,1,6,5.0,5.0,0.0,0.0,0.0,0.0
Electrify Squash Div 11,1,1,0,6,5.0,0.0,0.0,0.0,0.0,0.0
ZOMA,2,1,1,5,4.0,6.0,0.0,0.0,0.0,0.0
GMDBB,1,1,0,5,4.0,1.0,0.0,0.0,0.0,0.0
i-Mask Advance Squash Club 5,1,1,0,5,4.0,1.0,0.0,0.0,0.0,0.0
7NT,1,1,0,4,3.0,2.0,0.0,0.0,0.0,0.0
The Zero Squash Club D11,2,0,2,4,4.0,6.0,0.0,0.0,0.0,0.0
Sea Bear,2,0,2,2,2.0,8.0,0.0,0.0,0.0,0.0
Tuen Mun Squash Club,2,0,2,1,1.0,9.0,0.0,0.0,0.0,0.0
Invader Squash,0,0,0,0,,,,,,
