Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc,Total Rubbers
Kinetic 3,42.10526315789473,78.94736842105263,94.73684210526315,89.47368421052632,94.73684210526315,80.0,95
Global Squash 2,90.0,70.0,75.0,80.0,65.0,76.0,100
Sha Tin Squash Rackets Club 6,85.0,60.0,60.0,84.21052631578947,88.23529411764706,75.48916408668731,96
Airporterz,66.66666666666666,88.88888888888889,61.111111111111114,50.0,33.33333333333333,59.999999999999986,82
ZOMA,45.0,45.0,66.66666666666666,64.28571428571429,53.84615384615385,54.95970695970696,85
Star River 2,58.82352941176471,47.05882352941176,52.94117647058824,35.294117647058826,50.0,48.82352941176471,84
Hong Kong Football Club 16,36.84210526315789,52.63157894736842,47.368421052631575,37.5,57.14285714285714,46.296992481203,87
Winter Warriors,5.263157894736842,52.63157894736842,55.55555555555556,58.82352941176471,38.46153846153847,42.147072054192805,86
SQUASHTASTIC 8,35.0,55.00000000000001,25.0,30.0,7.142857142857142,30.428571428571427,94
i-Mask Advance Squash Club 6,21.052631578947366,31.57894736842105,22.22222222222222,20.0,27.27272727272727,24.42530568846358,82
Latecomers,63.1578947368421,0.0,5.555555555555555,18.75,25.0,22.492690058479532,84
CSD Squash Team,50.0,16.666666666666664,29.411764705882355,0.0,0.0,19.2156862745098,73
