Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc,Total Rubbers
Physical Chess 4,72.72727272727273,90.9090909090909,90.9090909090909,90.9090909090909,100.0,89.0909090909091,55
United Services Recreation Club 3,54.54545454545454,72.72727272727273,81.81818181818183,90.9090909090909,72.72727272727273,74.54545454545455,55
7NT,54.54545454545454,81.81818181818183,72.72727272727273,63.63636363636363,63.63636363636363,67.27272727272728,55
Hong Kong Cricket Club Rockers,81.81818181818183,72.72727272727273,45.45454545454545,54.54545454545454,54.54545454545454,61.81818181818181,55
Tuen Mun Squash Club,72.72727272727273,27.27272727272727,45.45454545454545,72.72727272727273,72.72727272727273,58.18181818181819,55
SKCSC,45.45454545454545,54.54545454545454,45.45454545454545,54.54545454545454,45.45454545454545,49.090909090909086,55
Hong Kong Football Club 15,27.27272727272727,54.54545454545454,45.45454545454545,45.45454545454545,45.45454545454545,43.63636363636364,55
The Squash Club 2,36.36363636363637,54.54545454545454,36.36363636363637,18.181818181818183,30.0,35.09090909090909,54
South China Athletic Association,45.45454545454545,27.27272727272727,45.45454545454545,27.27272727272727,20.0,33.090909090909086,54
Sha Tin Squash Rackets Club 5,72.72727272727273,18.181818181818183,18.181818181818183,27.27272727272727,27.27272727272727,32.727272727272734,55
TNG 2,27.27272727272727,18.181818181818183,27.27272727272727,36.36363636363637,45.45454545454545,30.909090909090914,55
Invader Squash,9.090909090909092,27.27272727272727,45.45454545454545,18.181818181818183,18.181818181818183,23.636363636363637,55
